Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
SORD,MoSS_MN,MoSS_Dir,0.5,0.07,0.25,0.1
SORD,MoSS_MN,MoSS_Dir,0.5,0.12000000000000001,0.25,0.2
SORD,MoSS_MN,MoSS_Dir,0.25,0.06,0.25,0.4
SORD,MoSS_MN,MoSS_Dir,0.75,0.040000000000000036,0.25,0.6
SORD,MoSS_MN,MoSS_Dir,0.75,0.15000000000000002,0.25,0.8
SORD,MoSS_MN,MoSS_Dir,0.25,0.0,0.25,1.0
SORD,MoSS_MN,MoSS_Dir,0.5,0.060000000000000005,0.5,0.1
SORD,MoSS_MN,MoSS_Dir,0.25,0.08999999999999997,0.5,0.2
SORD,MoSS_MN,MoSS_Dir,0.25,0.19000000000000003,0.5,0.4
SORD,MoSS_MN,MoSS_Dir,0.25,0.4,0.5,0.6
SORD,MoSS_MN,MoSS_Dir,0.5,0.19999999999999996,0.5,0.8
SORD,MoSS_MN,MoSS_Dir,0.25,0.0,0.5,1.0
SORD,MoSS_MN,MoSS_Dir,0.0,0.07,0.75,0.1
SORD,MoSS_MN,MoSS_Dir,0.0,0.04999999999999999,0.75,0.2
SORD,MoSS_MN,MoSS_Dir,0.0,0.25,0.75,0.4
SORD,MoSS_MN,MoSS_Dir,0.0,0.0,0.75,0.6
SORD,MoSS_MN,MoSS_Dir,0.0,0.19999999999999996,0.75,0.8
SORD,MoSS_MN,MoSS_Dir,0.0,0.16999999999999993,0.75,1.0
SORD,MoSS_MN,MoSS_Dir,0.25,0.1,1.0,0.1
SORD,MoSS_MN,MoSS_Dir,0.25,0.2,1.0,0.2
SORD,MoSS_MN,MoSS_Dir,0.25,0.09000000000000002,1.0,0.4
SORD,MoSS_MN,MoSS_Dir,0.25,0.010000000000000009,1.0,0.6
SORD,MoSS_MN,MoSS_Dir,0.25,0.43000000000000005,1.0,0.8
SORD,MoSS_MN,MoSS_Dir,0.0,0.07999999999999996,1.0,1.0
SMM,MoSS_MN,MoSS_Dir,0.4,0.1,0.1,0.1
SMM,MoSS_MN,MoSS_Dir,0.4,0.2,0.1,0.2
SMM,MoSS_MN,MoSS_Dir,0.4,0.022022922634704678,0.1,0.4
SMM,MoSS_MN,MoSS_Dir,0.4,0.09687164072358578,0.1,0.6
SMM,MoSS_MN,MoSS_Dir,0.4,0.19999999999999996,0.1,0.8
SMM,MoSS_MN,MoSS_Dir,0.9,0.11319782262502054,0.1,1.0
SMM,MoSS_MN,MoSS_Dir,0.5,0.1,0.25,0.1
SMM,MoSS_MN,MoSS_Dir,0.25,0.14330426077352726,0.25,0.2
SMM,MoSS_MN,MoSS_Dir,0.75,0.06210763776511807,0.25,0.4
SMM,MoSS_MN,MoSS_Dir,0.5,0.02700113160806017,0.25,0.6
SMM,MoSS_MN,MoSS_Dir,0.5,0.014282302964831795,0.25,0.8
SMM,MoSS_MN,MoSS_Dir,0.25,0.0,0.25,1.0
SMM,MoSS_MN,MoSS_Dir,0.25,0.1,0.5,0.1
SMM,MoSS_MN,MoSS_Dir,0.25,0.0030726939032232337,0.5,0.2
SMM,MoSS_MN,MoSS_Dir,0.5,0.16980593989042836,0.5,0.4
SMM,MoSS_MN,MoSS_Dir,0.25,0.4,0.5,0.6
SMM,MoSS_MN,MoSS_Dir,0.25,0.029068244935267606,0.5,0.8
SMM,MoSS_MN,MoSS_Dir,0.5,0.00562045317759341,0.5,1.0
SMM,MoSS_MN,MoSS_Dir,0.0,0.12577252760096316,0.75,0.1
SMM,MoSS_MN,MoSS_Dir,0.25,0.2,0.75,0.2
SMM,MoSS_MN,MoSS_Dir,0.0,0.11721119673520386,0.75,0.4
SMM,MoSS_MN,MoSS_Dir,0.0,0.257629593702856,0.75,0.6
SMM,MoSS_MN,MoSS_Dir,0.0,0.19999999999999996,0.75,0.8
SMM,MoSS_MN,MoSS_Dir,0.0,0.17365317772416367,0.75,1.0
SMM,MoSS_MN,MoSS_Dir,0.25,0.6113189297682559,1.0,0.1
SMM,MoSS_MN,MoSS_Dir,0.25,0.3867895367548602,1.0,0.2
SMM,MoSS_MN,MoSS_Dir,0.5,0.13581866193245207,1.0,0.4
SMM,MoSS_MN,MoSS_Dir,0.25,0.037262852176006556,1.0,0.6
SMM,MoSS_MN,MoSS_Dir,0.25,0.0901153972785842,1.0,0.8
SMM,MoSS_MN,MoSS_Dir,0.25,0.5122630399693204,1.0,1.0
ACC,MoSS_MN,MoSS_Dir,0.4,0.4,0.1,0.1
ACC,MoSS_MN,MoSS_Dir,0.9,0.3000000000000001,0.1,0.2
ACC,MoSS_MN,MoSS_Dir,0.9,0.10000000000000009,0.1,0.4
ACC,MoSS_MN,MoSS_Dir,0.4,0.09999999999999998,0.1,0.6
ACC,MoSS_MN,MoSS_Dir,0.4,0.3000000000000002,0.1,0.8
ACC,MoSS_MN,MoSS_Dir,0.4,0.5,0.1,1.0
ACC,MoSS_MN,MoSS_Dir,0.5,0.40000000000000013,0.25,0.1
ACC,MoSS_MN,MoSS_Dir,0.5,0.3000000000000001,0.25,0.2
ACC,MoSS_MN,MoSS_Dir,0.5,0.09999999999999998,0.25,0.4
ACC,MoSS_MN,MoSS_Dir,0.5,0.09999999999999998,0.25,0.6
ACC,MoSS_MN,MoSS_Dir,0.5,0.30000000000000004,0.25,0.8
ACC,MoSS_MN,MoSS_Dir,0.75,0.4999999999999999,0.25,1.0
ACC,MoSS_MN,MoSS_Dir,0.25,0.40000000000000013,0.5,0.1
ACC,MoSS_MN,MoSS_Dir,0.25,0.3,0.5,0.2
ACC,MoSS_MN,MoSS_Dir,0.25,0.09999999999999998,0.5,0.4
ACC,MoSS_MN,MoSS_Dir,0.25,0.09999999999999976,0.5,0.6
ACC,MoSS_MN,MoSS_Dir,0.25,0.30000000000000004,0.5,0.8
ACC,MoSS_MN,MoSS_Dir,0.5,0.5,0.5,1.0
ACC,MoSS_MN,MoSS_Dir,0.0,0.4,0.75,0.1
ACC,MoSS_MN,MoSS_Dir,0.0,0.3,0.75,0.2
ACC,MoSS_MN,MoSS_Dir,0.25,0.1000000000000002,0.75,0.4
ACC,MoSS_MN,MoSS_Dir,0.0,0.09999999999999976,0.75,0.6
ACC,MoSS_MN,MoSS_Dir,0.0,0.3000000000000003,0.75,0.8
ACC,MoSS_MN,MoSS_Dir,0.0,0.4999999999999998,0.75,1.0
ACC,MoSS_MN,MoSS_Dir,0.25,0.3999999999999996,1.0,0.1
ACC,MoSS_MN,MoSS_Dir,0.5,0.29999999999999966,1.0,0.2
ACC,MoSS_MN,MoSS_Dir,0.25,0.10000000000000042,1.0,0.4
ACC,MoSS_MN,MoSS_Dir,0.25,0.1000000000000002,1.0,0.6
ACC,MoSS_MN,MoSS_Dir,0.25,0.30000000000000004,1.0,0.8
ACC,MoSS_MN,MoSS_Dir,0.25,0.5000000000000002,1.0,1.0
X_method,MoSS_MN,MoSS_Dir,0.9,0.4113636363636365,0.1,0.1
X_method,MoSS_MN,MoSS_Dir,0.4,0.32403846153846166,0.1,0.2
X_method,MoSS_MN,MoSS_Dir,0.9,0.06411483253588518,0.1,0.4
X_method,MoSS_MN,MoSS_Dir,0.4,0.10000000000000031,0.1,0.6
X_method,MoSS_MN,MoSS_Dir,0.9,0.2718614718614719,0.1,0.8
X_method,MoSS_MN,MoSS_Dir,0.9,0.5,0.1,1.0
X_method,MoSS_MN,MoSS_Dir,0.75,0.44644808743169395,0.25,0.1
X_method,MoSS_MN,MoSS_Dir,0.5,0.33260869565217394,0.25,0.2
X_method,MoSS_MN,MoSS_Dir,0.25,0.07727272727272722,0.25,0.4
X_method,MoSS_MN,MoSS_Dir,0.75,0.10000000000000037,0.25,0.6
X_method,MoSS_MN,MoSS_Dir,0.5,0.29999999999999993,0.25,0.8
X_method,MoSS_MN,MoSS_Dir,0.5,0.48847926267281094,0.25,1.0
X_method,MoSS_MN,MoSS_Dir,0.25,0.40000000000000013,0.5,0.1
X_method,MoSS_MN,MoSS_Dir,0.25,0.21964285714285686,0.5,0.2
X_method,MoSS_MN,MoSS_Dir,0.25,0.1625000000000002,0.5,0.4
X_method,MoSS_MN,MoSS_Dir,0.25,0.0024390243902435715,0.5,0.6
X_method,MoSS_MN,MoSS_Dir,0.25,0.544897959183674,0.5,0.8
X_method,MoSS_MN,MoSS_Dir,0.5,0.4999999999999999,0.5,1.0
X_method,MoSS_MN,MoSS_Dir,0.25,0.3817351598173516,0.75,0.1
X_method,MoSS_MN,MoSS_Dir,0.0,0.36635071090047405,0.75,0.2
X_method,MoSS_MN,MoSS_Dir,0.0,0.4,0.75,0.4
X_method,MoSS_MN,MoSS_Dir,0.25,0.037499999999999756,0.75,0.6
