Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
SORD,MoSS,MoSS_Dir,0.25,0.9,0.5,0.1
SORD,MoSS,MoSS_Dir,0.5,0.6000000000000001,0.5,0.2
SORD,MoSS,MoSS_Dir,0.5,0.30000000000000004,0.5,0.4
SORD,MoSS,MoSS_Dir,0.5,0.3500000000000001,0.5,0.6
SORD,MoSS,MoSS_Dir,0.5,0.6200000000000001,0.5,0.8
SORD,MoSS,MoSS_Dir,0.5,1.0,0.5,1.0
SORD,MoSS,MoSS_Dir,0.25,0.54,0.75,0.1
SORD,MoSS,MoSS_Dir,0.25,0.8,0.75,0.2
SORD,MoSS,MoSS_Dir,0.0,0.12,0.75,0.4
SORD,MoSS,MoSS_Dir,0.0,0.44999999999999996,0.75,0.6
SORD,MoSS,MoSS_Dir,0.0,0.8,0.75,0.8
SORD,MoSS,MoSS_Dir,0.25,1.0,0.75,1.0
SORD,MoSS,MoSS_Dir,0.0,0.27,1.0,0.1
SORD,MoSS,MoSS_Dir,0.25,0.46,1.0,0.2
SORD,MoSS,MoSS_Dir,0.0,0.14,1.0,0.4
SORD,MoSS,MoSS_Dir,0.5,0.029999999999999916,1.0,0.6
SORD,MoSS,MoSS_Dir,0.25,0.39,1.0,0.8
SORD,MoSS,MoSS_Dir,0.5,0.44999999999999996,1.0,1.0
SMM,MoSS,MoSS_Dir,0.0,0.7709781403613769,0.1,0.1
SMM,MoSS,MoSS_Dir,0.0,0.5800485760486169,0.1,0.2
SMM,MoSS,MoSS_Dir,0.0,0.201689947176524,0.1,0.4
SMM,MoSS,MoSS_Dir,0.0,0.19084279843372498,0.1,0.6
SMM,MoSS,MoSS_Dir,0.0,0.576449598251248,0.1,0.8
SMM,MoSS,MoSS_Dir,0.0,0.962609603979969,0.1,1.0
SMM,MoSS,MoSS_Dir,0.0,0.722923469060236,0.25,0.1
SMM,MoSS,MoSS_Dir,0.25,0.5628964145822006,0.25,0.2
SMM,MoSS,MoSS_Dir,0.0,0.18819705502498452,0.25,0.4
SMM,MoSS,MoSS_Dir,0.0,0.17676092867852178,0.25,0.6
SMM,MoSS,MoSS_Dir,0.25,0.8,0.25,0.8
SMM,MoSS,MoSS_Dir,0.25,0.9156675498354033,0.25,1.0
SMM,MoSS,MoSS_Dir,0.25,0.7618184142376678,0.5,0.1
SMM,MoSS,MoSS_Dir,0.5,0.5970729918443329,0.5,0.2
SMM,MoSS,MoSS_Dir,0.25,0.5006976896829538,0.5,0.4
SMM,MoSS,MoSS_Dir,0.5,0.37229788476541636,0.5,0.6
SMM,MoSS,MoSS_Dir,0.25,0.6187306966561468,0.5,0.8
SMM,MoSS,MoSS_Dir,0.5,0.9897024202955587,0.5,1.0
SMM,MoSS,MoSS_Dir,0.0,0.1,0.75,0.1
SMM,MoSS,MoSS_Dir,0.25,0.8,0.75,0.2
SMM,MoSS,MoSS_Dir,0.0,0.29601649276817876,0.75,0.4
SMM,MoSS,MoSS_Dir,0.0,0.4,0.75,0.6
SMM,MoSS,MoSS_Dir,0.25,0.5075001412668844,0.75,0.8
SMM,MoSS,MoSS_Dir,0.0,0.718469416020291,0.75,1.0
SMM,MoSS,MoSS_Dir,0.0,0.44147061982316926,1.0,0.1
SMM,MoSS,MoSS_Dir,0.0,0.8,1.0,0.2
SMM,MoSS,MoSS_Dir,0.0,0.16744260465728278,1.0,0.4
SMM,MoSS,MoSS_Dir,0.5,0.6,1.0,0.6
SMM,MoSS,MoSS_Dir,0.25,0.31221699361216076,1.0,0.8
SMM,MoSS,MoSS_Dir,0.5,0.5020235190928473,1.0,1.0
ACC,MoSS,MoSS_Dir,0.0,0.4,0.1,0.1
ACC,MoSS,MoSS_Dir,0.0,0.3,0.1,0.2
ACC,MoSS,MoSS_Dir,0.0,0.09999999999999998,0.1,0.4
ACC,MoSS,MoSS_Dir,0.0,0.09999999999999998,0.1,0.6
ACC,MoSS,MoSS_Dir,0.0,0.30000000000000004,0.1,0.8
ACC,MoSS,MoSS_Dir,0.0,0.5,0.1,1.0
ACC,MoSS,MoSS_Dir,0.0,0.4,0.25,0.1
ACC,MoSS,MoSS_Dir,0.0,0.3,0.25,0.2
ACC,MoSS,MoSS_Dir,0.0,0.10000000000000009,0.25,0.4
ACC,MoSS,MoSS_Dir,0.0,0.09999999999999998,0.25,0.6
ACC,MoSS,MoSS_Dir,0.0,0.29999999999999993,0.25,0.8
ACC,MoSS,MoSS_Dir,0.0,0.5,0.25,1.0
ACC,MoSS,MoSS_Dir,0.0,0.40000000000000013,0.5,0.1
ACC,MoSS,MoSS_Dir,0.5,0.3,0.5,0.2
ACC,MoSS,MoSS_Dir,0.5,0.09999999999999998,0.5,0.4
ACC,MoSS,MoSS_Dir,0.0,0.09999999999999987,0.5,0.6
ACC,MoSS,MoSS_Dir,0.5,0.30000000000000004,0.5,0.8
ACC,MoSS,MoSS_Dir,0.5,0.5,0.5,1.0
ACC,MoSS,MoSS_Dir,0.0,0.40000000000000013,0.75,0.1
ACC,MoSS,MoSS_Dir,0.0,0.3,0.75,0.2
ACC,MoSS,MoSS_Dir,0.25,0.1000000000000002,0.75,0.4
ACC,MoSS,MoSS_Dir,0.0,0.09999999999999998,0.75,0.6
ACC,MoSS,MoSS_Dir,0.0,0.30000000000000027,0.75,0.8
ACC,MoSS,MoSS_Dir,0.0,0.5,0.75,1.0
ACC,MoSS,MoSS_Dir,0.0,0.40000000000000013,1.0,0.1
ACC,MoSS,MoSS_Dir,0.0,0.3,1.0,0.2
ACC,MoSS,MoSS_Dir,0.0,0.09999999999999998,1.0,0.4
ACC,MoSS,MoSS_Dir,0.25,0.09999999999999976,1.0,0.6
ACC,MoSS,MoSS_Dir,0.0,0.30000000000000004,1.0,0.8
ACC,MoSS,MoSS_Dir,0.0,0.5,1.0,1.0
X_method,MoSS,MoSS_Dir,0.0,0.4,0.1,0.1
X_method,MoSS,MoSS_Dir,0.0,0.302,0.1,0.2
X_method,MoSS,MoSS_Dir,0.0,0.10099999999999998,0.1,0.4
X_method,MoSS,MoSS_Dir,0.0,0.10099999999999998,0.1,0.6
X_method,MoSS,MoSS_Dir,0.0,0.30100000000000005,0.1,0.8
X_method,MoSS,MoSS_Dir,0.0,0.501004016064257,0.1,1.0
X_method,MoSS,MoSS_Dir,0.25,0.40411522633744856,0.25,0.1
X_method,MoSS,MoSS_Dir,0.0,0.2938398357289528,0.25,0.2
X_method,MoSS,MoSS_Dir,0.0,0.10613496932515332,0.25,0.4
X_method,MoSS,MoSS_Dir,0.0,0.10714285714285715,0.25,0.6
X_method,MoSS,MoSS_Dir,0.25,0.30000000000000004,0.25,0.8
X_method,MoSS,MoSS_Dir,0.25,0.502053388090349,0.25,1.0
X_method,MoSS,MoSS_Dir,0.25,0.4377358490566039,0.5,0.1
X_method,MoSS,MoSS_Dir,0.5,0.2757281553398059,0.5,0.2
X_method,MoSS,MoSS_Dir,0.5,0.12083333333333335,0.5,0.4
X_method,MoSS,MoSS_Dir,0.0,0.17377049180327891,0.5,0.6
X_method,MoSS,MoSS_Dir,0.5,0.26231155778894466,0.5,0.8
X_method,MoSS,MoSS_Dir,0.25,0.5253164556962026,0.5,1.0
X_method,MoSS,MoSS_Dir,0.0,0.40000000000000024,0.75,0.1
X_method,MoSS,MoSS_Dir,0.0,0.40526315789473716,0.75,0.2
X_method,MoSS,MoSS_Dir,0.0,0.4275862068965516,0.75,0.4
