Quantifier,MoSS Variant Test,MoSS Variant Train,m_proximity,MAE,m_test,alpha
SORD,MoSS_Dir,MoSS_Dir,0.0,0.0,0.1,1.0
SORD,MoSS_Dir,MoSS_Dir,0.0,0.0010101010101010166,0.25,0.1
SORD,MoSS_Dir,MoSS_Dir,0.0,0.008080808080808077,0.25,0.2
SORD,MoSS_Dir,MoSS_Dir,0.0,0.003960396039603964,0.25,0.4
SORD,MoSS_Dir,MoSS_Dir,0.0,0.005940594059405946,0.25,0.6
SORD,MoSS_Dir,MoSS_Dir,0.0,0.001980198019801982,0.25,0.8
SORD,MoSS_Dir,MoSS_Dir,0.0,0.0,0.25,1.0
SORD,MoSS_Dir,MoSS_Dir,0.0,0.0010101010101010166,0.5,0.1
SORD,MoSS_Dir,MoSS_Dir,0.5,0.06126126126126119,0.5,0.2
SORD,MoSS_Dir,MoSS_Dir,0.5,0.4,0.5,0.4
SORD,MoSS_Dir,MoSS_Dir,0.5,0.0060606060606061,0.5,0.6
SORD,MoSS_Dir,MoSS_Dir,0.5,0.09357798165137621,0.5,0.8
SORD,MoSS_Dir,MoSS_Dir,0.5,0.029126213592232997,0.5,1.0
SORD,MoSS_Dir,MoSS_Dir,0.25,0.1,0.75,0.1
SORD,MoSS_Dir,MoSS_Dir,0.0,0.23518518518518516,0.75,0.2
SORD,MoSS_Dir,MoSS_Dir,0.0,0.08550724637681162,0.75,0.4
SORD,MoSS_Dir,MoSS_Dir,0.0,0.041860465116279055,0.75,0.6
SORD,MoSS_Dir,MoSS_Dir,0.0,0.02608695652173909,0.75,0.8
SORD,MoSS_Dir,MoSS_Dir,0.0,1.0,0.75,1.0
SORD,MoSS_Dir,MoSS_Dir,0.0,0.5557377049180329,1.0,0.1
SORD,MoSS_Dir,MoSS_Dir,0.0,0.31,1.0,0.2
SORD,MoSS_Dir,MoSS_Dir,0.5,0.238157894736842,1.0,0.4
SORD,MoSS_Dir,MoSS_Dir,0.5,0.11428571428571427,1.0,0.6
SORD,MoSS_Dir,MoSS_Dir,0.25,0.21489361702127663,1.0,0.8
SORD,MoSS_Dir,MoSS_Dir,0.5,0.5402298850574713,1.0,1.0
SMM,MoSS_Dir,MoSS_Dir,0.0,0.003236307442862754,0.1,0.1
SMM,MoSS_Dir,MoSS_Dir,0.0,0.0009016496485334535,0.1,0.2
SMM,MoSS_Dir,MoSS_Dir,0.0,0.0007387555942640622,0.1,0.4
SMM,MoSS_Dir,MoSS_Dir,0.0,0.003908620352466308,0.1,0.6
SMM,MoSS_Dir,MoSS_Dir,0.0,0.0016563678366944279,0.1,0.8
