Quantifier,Quadapt_Variant,MoSS_Test_Variant,MoSS_Train_Variant,MAE,m_test,m_train,alpha,Iteration
DyS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.00561688157696183,0.1,0.1,0.25,2
HDy,MoSS_MN,MoSS_Dir,MoSS_Dir,0.010000000000000009,0.1,0.1,0.25,2
SORD,MoSS_MN,MoSS_Dir,MoSS_Dir,0.01999999999999999,0.1,0.1,0.25,2
SMM,MoSS_MN,MoSS_Dir,MoSS_Dir,0.16887145674101614,0.1,0.1,0.25,2
ACC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.04147982062780267,0.1,0.1,0.25,2
X_method,MoSS_MN,MoSS_Dir,MoSS_Dir,0.029510022271714897,0.1,0.1,0.25,2
T50,MoSS_MN,MoSS_Dir,MoSS_Dir,0.23046875,0.1,0.1,0.25,2
MAX,MoSS_MN,MoSS_Dir,MoSS_Dir,0.03118161925601748,0.1,0.1,0.25,2
MS,MoSS_MN,MoSS_Dir,MoSS_Dir,0.025055679287305094,0.1,0.1,0.25,2
MS2,MoSS_MN,MoSS_Dir,MoSS_Dir,0.05812616947340282,0.1,0.1,0.25,2
CC,MoSS_MN,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
DyS,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.008055505159259624,0.1,0.1,0.25,2
HDy,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.024999999999999994,0.1,0.1,0.25,2
SORD,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
SMM,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.005111070212562269,0.1,0.1,0.25,2
ACC,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
X_method,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.0,0.1,0.1,0.25,2
T50,MoSS_Dir,MoSS_Dir,MoSS_Dir,0.22709923664122134,0.1,0.1,0.25,2
