Quantifier,Quadapt_Variant,MoSS_Test_Variant,MoSS_Train_Variant,MAE,m_test,m_train,alpha,Iteration
X_method,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,1
T50,MoSS_Dir,MoSS_MN,MoSS_Dir,0.03571428571428564,0.8,0.9,0.25,1
MAX,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,1
MS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,1
MS2,MoSS_Dir,MoSS_MN,MoSS_Dir,0.09079601990049749,0.8,0.9,0.25,1
CC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.13,0.8,0.9,0.25,1
DyS,None,MoSS_MN,MoSS_Dir,0.24995544760595234,0.8,0.9,0.25,1
HDy,None,MoSS_MN,MoSS_Dir,0.16500000000000004,0.8,0.9,0.25,1
SORD,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,1
SMM,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,1
ACC,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,1
X_method,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,1
T50,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,1
MAX,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,1
MS,None,MoSS_MN,MoSS_Dir,0.13,0.8,0.9,0.25,1
MS2,None,MoSS_MN,MoSS_Dir,0.13,0.8,0.9,0.25,1
CC,None,MoSS_MN,MoSS_Dir,0.13,0.8,0.9,0.25,1
DyS,MoSS,MoSS_MN,MoSS_Dir,0.018326647971177112,0.8,0.9,0.25,2
HDy,MoSS,MoSS_MN,MoSS_Dir,0.065,0.8,0.9,0.25,2
SORD,MoSS,MoSS_MN,MoSS_Dir,0.04999999999999999,0.8,0.9,0.25,2
SMM,MoSS,MoSS_MN,MoSS_Dir,0.011550852860570282,0.8,0.9,0.25,2
ACC,MoSS,MoSS_MN,MoSS_Dir,5.551115123125783e-17,0.8,0.9,0.25,2
X_method,MoSS,MoSS_MN,MoSS_Dir,0.02031802120141349,0.8,0.9,0.25,2
T50,MoSS,MoSS_MN,MoSS_Dir,0.4034653465346535,0.8,0.9,0.25,2
MAX,MoSS,MoSS_MN,MoSS_Dir,0.006704980842911823,0.8,0.9,0.25,2
MS,MoSS,MoSS_MN,MoSS_Dir,0.007085020242915047,0.8,0.9,0.25,2
MS2,MoSS,MoSS_MN,MoSS_Dir,0.009259259259259328,0.8,0.9,0.25,2
CC,MoSS,MoSS_MN,MoSS_Dir,0.09999999999999998,0.8,0.9,0.25,2
DyS,MoSS_MN,MoSS_MN,MoSS_Dir,0.002320150067923521,0.8,0.9,0.25,2
HDy,MoSS_MN,MoSS_MN,MoSS_Dir,0.015000000000000013,0.8,0.9,0.25,2
SORD,MoSS_MN,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.25,2
SMM,MoSS_MN,MoSS_MN,MoSS_Dir,0.08573015913062754,0.8,0.9,0.25,2
ACC,MoSS_MN,MoSS_MN,MoSS_Dir,0.1700000000000001,0.8,0.9,0.25,2
X_method,MoSS_MN,MoSS_MN,MoSS_Dir,0.09753363228699552,0.8,0.9,0.25,2
T50,MoSS_MN,MoSS_MN,MoSS_Dir,0.40315315315315314,0.8,0.9,0.25,2
MAX,MoSS_MN,MoSS_MN,MoSS_Dir,0.23930481283422458,0.8,0.9,0.25,2
MS,MoSS_MN,MoSS_MN,MoSS_Dir,0.12428571428571433,0.8,0.9,0.25,2
MS2,MoSS_MN,MoSS_MN,MoSS_Dir,0.06284971625858174,0.8,0.9,0.25,2
CC,MoSS_MN,MoSS_MN,MoSS_Dir,0.09999999999999998,0.8,0.9,0.25,2
DyS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.030716617122776013,0.8,0.9,0.25,2
HDy,MoSS_Dir,MoSS_MN,MoSS_Dir,0.12,0.8,0.9,0.25,2
SORD,MoSS_Dir,MoSS_MN,MoSS_Dir,0.03,0.8,0.9,0.25,2
SMM,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
ACC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.15995260663507113,0.8,0.9,0.25,2
X_method,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
T50,MoSS_Dir,MoSS_MN,MoSS_Dir,0.13235294117647078,0.8,0.9,0.25,2
MAX,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
MS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
MS2,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
CC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.09999999999999998,0.8,0.9,0.25,2
DyS,None,MoSS_MN,MoSS_Dir,0.24995544760595234,0.8,0.9,0.25,2
HDy,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
SORD,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
SMM,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
ACC,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
X_method,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
T50,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
MAX,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,2
MS,None,MoSS_MN,MoSS_Dir,0.09999999999999998,0.8,0.9,0.25,2
MS2,None,MoSS_MN,MoSS_Dir,0.09999999999999998,0.8,0.9,0.25,2
CC,None,MoSS_MN,MoSS_Dir,0.09999999999999998,0.8,0.9,0.25,2
DyS,MoSS,MoSS_MN,MoSS_Dir,0.13780303351653267,0.8,0.9,0.25,3
HDy,MoSS,MoSS_MN,MoSS_Dir,0.13,0.8,0.9,0.25,3
SORD,MoSS,MoSS_MN,MoSS_Dir,0.12,0.8,0.9,0.25,3
SMM,MoSS,MoSS_MN,MoSS_Dir,0.1073723058401253,0.8,0.9,0.25,3
ACC,MoSS,MoSS_MN,MoSS_Dir,0.03125,0.8,0.9,0.25,3
X_method,MoSS,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
T50,MoSS,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
MAX,MoSS,MoSS_MN,MoSS_Dir,0.052631578947368196,0.8,0.9,0.25,3
MS,MoSS,MoSS_MN,MoSS_Dir,0.18283582089552236,0.8,0.9,0.25,3
MS2,MoSS,MoSS_MN,MoSS_Dir,0.18181818181818188,0.8,0.9,0.25,3
CC,MoSS,MoSS_MN,MoSS_Dir,0.2,0.8,0.9,0.25,3
DyS,MoSS_MN,MoSS_MN,MoSS_Dir,0.10779568467619577,0.8,0.9,0.25,3
HDy,MoSS_MN,MoSS_MN,MoSS_Dir,0.03,0.8,0.9,0.25,3
SORD,MoSS_MN,MoSS_MN,MoSS_Dir,0.08000000000000002,0.8,0.9,0.25,3
SMM,MoSS_MN,MoSS_MN,MoSS_Dir,0.11308690797254234,0.8,0.9,0.25,3
ACC,MoSS_MN,MoSS_MN,MoSS_Dir,0.12264150943396235,0.8,0.9,0.25,3
X_method,MoSS_MN,MoSS_MN,MoSS_Dir,0.11458333333333343,0.8,0.9,0.25,3
T50,MoSS_MN,MoSS_MN,MoSS_Dir,0.6257062146892656,0.8,0.9,0.25,3
MAX,MoSS_MN,MoSS_MN,MoSS_Dir,0.19239631336405538,0.8,0.9,0.25,3
MS,MoSS_MN,MoSS_MN,MoSS_Dir,0.1462264150943398,0.8,0.9,0.25,3
MS2,MoSS_MN,MoSS_MN,MoSS_Dir,0.15647447097650946,0.8,0.9,0.25,3
CC,MoSS_MN,MoSS_MN,MoSS_Dir,0.2,0.8,0.9,0.25,3
DyS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.24995544760595234,0.8,0.9,0.25,3
HDy,MoSS_Dir,MoSS_MN,MoSS_Dir,0.185,0.8,0.9,0.25,3
SORD,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
SMM,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
ACC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.07183908045977022,0.8,0.9,0.25,3
X_method,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
T50,MoSS_Dir,MoSS_MN,MoSS_Dir,0.4878640776699029,0.8,0.9,0.25,3
MAX,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
MS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.05952380952380959,0.8,0.9,0.25,3
MS2,MoSS_Dir,MoSS_MN,MoSS_Dir,0.11363636363636354,0.8,0.9,0.25,3
CC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.2,0.8,0.9,0.25,3
DyS,None,MoSS_MN,MoSS_Dir,0.24995544760595234,0.8,0.9,0.25,3
HDy,None,MoSS_MN,MoSS_Dir,0.05499999999999999,0.8,0.9,0.25,3
SORD,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
SMM,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
ACC,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
X_method,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
T50,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.25,3
MAX,None,MoSS_MN,MoSS_Dir,0.6973684210526315,0.8,0.9,0.25,3
MS,None,MoSS_MN,MoSS_Dir,0.75,0.8,0.9,0.25,3
MS2,None,MoSS_MN,MoSS_Dir,0.75,0.8,0.9,0.25,3
CC,None,MoSS_MN,MoSS_Dir,0.2,0.8,0.9,0.25,3
DyS,MoSS,MoSS_MN,MoSS_Dir,0.12325311220712865,0.8,0.9,0.5,1
HDy,MoSS,MoSS_MN,MoSS_Dir,0.10999999999999999,0.8,0.9,0.5,1
SORD,MoSS,MoSS_MN,MoSS_Dir,0.21000000000000002,0.8,0.9,0.5,1
SMM,MoSS,MoSS_MN,MoSS_Dir,0.005397045646339527,0.8,0.9,0.5,1
ACC,MoSS,MoSS_MN,MoSS_Dir,0.05263157894736814,0.8,0.9,0.5,1
X_method,MoSS,MoSS_MN,MoSS_Dir,0.011111111111111405,0.8,0.9,0.5,1
T50,MoSS,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,1
MAX,MoSS,MoSS_MN,MoSS_Dir,0.10227272727272729,0.8,0.9,0.5,1
MS,MoSS,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.5,1
MS2,MoSS,MoSS_MN,MoSS_Dir,0.14189189189189189,0.8,0.9,0.5,1
CC,MoSS,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.5,1
DyS,MoSS_MN,MoSS_MN,MoSS_Dir,0.16979772351722905,0.8,0.9,0.5,1
HDy,MoSS_MN,MoSS_MN,MoSS_Dir,0.020000000000000018,0.8,0.9,0.5,1
SORD,MoSS_MN,MoSS_MN,MoSS_Dir,0.050000000000000044,0.8,0.9,0.5,1
SMM,MoSS_MN,MoSS_MN,MoSS_Dir,0.03496670572345584,0.8,0.9,0.5,1
ACC,MoSS_MN,MoSS_MN,MoSS_Dir,0.013333333333333364,0.8,0.9,0.5,1
X_method,MoSS_MN,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.5,1
T50,MoSS_MN,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,1
MAX,MoSS_MN,MoSS_MN,MoSS_Dir,0.01152073732718889,0.8,0.9,0.5,1
MS,MoSS_MN,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.5,1
MS2,MoSS_MN,MoSS_MN,MoSS_Dir,0.12505494505494497,0.8,0.9,0.5,1
CC,MoSS_MN,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.5,1
DyS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.18344289896175708,0.8,0.9,0.5,1
HDy,MoSS_Dir,MoSS_MN,MoSS_Dir,0.06000000000000005,0.8,0.9,0.5,1
SORD,MoSS_Dir,MoSS_MN,MoSS_Dir,0.12,0.8,0.9,0.5,1
SMM,MoSS_Dir,MoSS_MN,MoSS_Dir,0.02082875477949986,0.8,0.9,0.5,1
ACC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.375,0.8,0.9,0.5,1
X_method,MoSS_Dir,MoSS_MN,MoSS_Dir,0.020547945205479312,0.8,0.9,0.5,1
T50,MoSS_Dir,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,1
MAX,MoSS_Dir,MoSS_MN,MoSS_Dir,0.43939393939393934,0.8,0.9,0.5,1
MS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.5,1
MS2,MoSS_Dir,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.5,1
CC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.5,1
DyS,None,MoSS_MN,MoSS_Dir,0.3589806260058803,0.8,0.9,0.5,1
HDy,None,MoSS_MN,MoSS_Dir,0.04500000000000004,0.8,0.9,0.5,1
SORD,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,1
SMM,None,MoSS_MN,MoSS_Dir,0.19301451432619904,0.8,0.9,0.5,1
ACC,None,MoSS_MN,MoSS_Dir,0.3888888888888889,0.8,0.9,0.5,1
X_method,None,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.5,1
T50,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,1
MAX,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,1
MS,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,1
MS2,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,1
CC,None,MoSS_MN,MoSS_Dir,0.0,0.8,0.9,0.5,1
DyS,MoSS,MoSS_MN,MoSS_Dir,0.09741256968125522,0.8,0.9,0.5,2
HDy,MoSS,MoSS_MN,MoSS_Dir,0.050000000000000044,0.8,0.9,0.5,2
SORD,MoSS,MoSS_MN,MoSS_Dir,0.09999999999999998,0.8,0.9,0.5,2
SMM,MoSS,MoSS_MN,MoSS_Dir,0.004424395387631286,0.8,0.9,0.5,2
ACC,MoSS,MoSS_MN,MoSS_Dir,0.020833333333333037,0.8,0.9,0.5,2
X_method,MoSS,MoSS_MN,MoSS_Dir,0.15517241379310343,0.8,0.9,0.5,2
T50,MoSS,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
MAX,MoSS,MoSS_MN,MoSS_Dir,0.15467625899280563,0.8,0.9,0.5,2
MS,MoSS,MoSS_MN,MoSS_Dir,0.022058823529411797,0.8,0.9,0.5,2
MS2,MoSS,MoSS_MN,MoSS_Dir,0.31889763779527547,0.8,0.9,0.5,2
CC,MoSS,MoSS_MN,MoSS_Dir,0.010000000000000009,0.8,0.9,0.5,2
DyS,MoSS_MN,MoSS_MN,MoSS_Dir,0.08739312470656013,0.8,0.9,0.5,2
HDy,MoSS_MN,MoSS_MN,MoSS_Dir,0.135,0.8,0.9,0.5,2
SORD,MoSS_MN,MoSS_MN,MoSS_Dir,0.04999999999999999,0.8,0.9,0.5,2
SMM,MoSS_MN,MoSS_MN,MoSS_Dir,0.13307368146502851,0.8,0.9,0.5,2
ACC,MoSS_MN,MoSS_MN,MoSS_Dir,0.37096774193548376,0.8,0.9,0.5,2
X_method,MoSS_MN,MoSS_MN,MoSS_Dir,0.14285714285714268,0.8,0.9,0.5,2
T50,MoSS_MN,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
MAX,MoSS_MN,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
MS,MoSS_MN,MoSS_MN,MoSS_Dir,0.011737089201877993,0.8,0.9,0.5,2
MS2,MoSS_MN,MoSS_MN,MoSS_Dir,0.3125,0.8,0.9,0.5,2
CC,MoSS_MN,MoSS_MN,MoSS_Dir,0.010000000000000009,0.8,0.9,0.5,2
DyS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.16464467727378873,0.8,0.9,0.5,2
HDy,MoSS_Dir,MoSS_MN,MoSS_Dir,0.09499999999999997,0.8,0.9,0.5,2
SORD,MoSS_Dir,MoSS_MN,MoSS_Dir,0.030000000000000027,0.8,0.9,0.5,2
SMM,MoSS_Dir,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
ACC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
X_method,MoSS_Dir,MoSS_MN,MoSS_Dir,0.060606060606060885,0.8,0.9,0.5,2
T50,MoSS_Dir,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
MAX,MoSS_Dir,MoSS_MN,MoSS_Dir,0.3190476190476189,0.8,0.9,0.5,2
MS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.1447368421052635,0.8,0.9,0.5,2
MS2,MoSS_Dir,MoSS_MN,MoSS_Dir,0.010000000000000009,0.8,0.9,0.5,2
CC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.010000000000000009,0.8,0.9,0.5,2
DyS,None,MoSS_MN,MoSS_Dir,0.44205637221976274,0.8,0.9,0.5,2
HDy,None,MoSS_MN,MoSS_Dir,0.15000000000000002,0.8,0.9,0.5,2
SORD,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
SMM,None,MoSS_MN,MoSS_Dir,0.2683177786563634,0.8,0.9,0.5,2
ACC,None,MoSS_MN,MoSS_Dir,0.16666666666666663,0.8,0.9,0.5,2
X_method,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
T50,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
MAX,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
MS,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
MS2,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,2
CC,None,MoSS_MN,MoSS_Dir,0.010000000000000009,0.8,0.9,0.5,2
DyS,MoSS,MoSS_MN,MoSS_Dir,0.11796999202575048,0.8,0.9,0.5,3
HDy,MoSS,MoSS_MN,MoSS_Dir,0.365,0.8,0.9,0.5,3
SORD,MoSS,MoSS_MN,MoSS_Dir,0.39,0.8,0.9,0.5,3
SMM,MoSS,MoSS_MN,MoSS_Dir,0.11503760131757418,0.8,0.9,0.5,3
ACC,MoSS,MoSS_MN,MoSS_Dir,0.2956204379562044,0.8,0.9,0.5,3
X_method,MoSS,MoSS_MN,MoSS_Dir,0.19819819819819817,0.8,0.9,0.5,3
T50,MoSS,MoSS_MN,MoSS_Dir,0.3075117370892019,0.8,0.9,0.5,3
MAX,MoSS,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,3
MS,MoSS,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,3
MS2,MoSS,MoSS_MN,MoSS_Dir,0.22015172654342519,0.8,0.9,0.5,3
CC,MoSS,MoSS_MN,MoSS_Dir,0.08000000000000002,0.8,0.9,0.5,3
DyS,MoSS_MN,MoSS_MN,MoSS_Dir,0.20271005852233687,0.8,0.9,0.5,3
HDy,MoSS_MN,MoSS_MN,MoSS_Dir,0.09499999999999997,0.8,0.9,0.5,3
SORD,MoSS_MN,MoSS_MN,MoSS_Dir,0.14999999999999997,0.8,0.9,0.5,3
SMM,MoSS_MN,MoSS_MN,MoSS_Dir,0.13636917438825757,0.8,0.9,0.5,3
ACC,MoSS_MN,MoSS_MN,MoSS_Dir,0.2512437810945274,0.8,0.9,0.5,3
X_method,MoSS_MN,MoSS_MN,MoSS_Dir,0.1363636363636364,0.8,0.9,0.5,3
T50,MoSS_MN,MoSS_MN,MoSS_Dir,0.30693069306930676,0.8,0.9,0.5,3
MAX,MoSS_MN,MoSS_MN,MoSS_Dir,0.08588957055214724,0.8,0.9,0.5,3
MS,MoSS_MN,MoSS_MN,MoSS_Dir,0.11921708185053387,0.8,0.9,0.5,3
MS2,MoSS_MN,MoSS_MN,MoSS_Dir,0.13335517693315857,0.8,0.9,0.5,3
CC,MoSS_MN,MoSS_MN,MoSS_Dir,0.08000000000000002,0.8,0.9,0.5,3
DyS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.12490893086486105,0.8,0.9,0.5,3
HDy,MoSS_Dir,MoSS_MN,MoSS_Dir,0.12,0.8,0.9,0.5,3
SORD,MoSS_Dir,MoSS_MN,MoSS_Dir,0.16999999999999998,0.8,0.9,0.5,3
SMM,MoSS_Dir,MoSS_MN,MoSS_Dir,0.10579381762221884,0.8,0.9,0.5,3
ACC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.2385892116182573,0.8,0.9,0.5,3
X_method,MoSS_Dir,MoSS_MN,MoSS_Dir,0.16094420600858372,0.8,0.9,0.5,3
T50,MoSS_Dir,MoSS_MN,MoSS_Dir,0.30107526881720426,0.8,0.9,0.5,3
MAX,MoSS_Dir,MoSS_MN,MoSS_Dir,0.33732057416267947,0.8,0.9,0.5,3
MS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.1435643564356437,0.8,0.9,0.5,3
MS2,MoSS_Dir,MoSS_MN,MoSS_Dir,0.16932270916334663,0.8,0.9,0.5,3
CC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.08000000000000002,0.8,0.9,0.5,3
DyS,None,MoSS_MN,MoSS_Dir,0.07481925177440335,0.8,0.9,0.5,3
HDy,None,MoSS_MN,MoSS_Dir,0.21499999999999997,0.8,0.9,0.5,3
SORD,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,3
SMM,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,3
ACC,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,3
X_method,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,3
T50,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,3
MAX,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,3
MS,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,3
MS2,None,MoSS_MN,MoSS_Dir,0.5,0.8,0.9,0.5,3
CC,None,MoSS_MN,MoSS_Dir,0.08000000000000002,0.8,0.9,0.5,3
DyS,MoSS,MoSS_MN,MoSS_Dir,0.025788793080924743,0.8,0.9,0.75,1
HDy,MoSS,MoSS_MN,MoSS_Dir,0.10499999999999998,0.8,0.9,0.75,1
SORD,MoSS,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
SMM,MoSS,MoSS_MN,MoSS_Dir,0.012597235261679662,0.8,0.9,0.75,1
ACC,MoSS,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
X_method,MoSS,MoSS_MN,MoSS_Dir,0.0029644268774703386,0.8,0.9,0.75,1
T50,MoSS,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
MAX,MoSS,MoSS_MN,MoSS_Dir,0.010162601626016232,0.8,0.9,0.75,1
MS,MoSS,MoSS_MN,MoSS_Dir,0.18939393939393934,0.8,0.9,0.75,1
MS2,MoSS,MoSS_MN,MoSS_Dir,0.051556420233463074,0.8,0.9,0.75,1
CC,MoSS,MoSS_MN,MoSS_Dir,0.12,0.8,0.9,0.75,1
DyS,MoSS_MN,MoSS_MN,MoSS_Dir,0.05311671512536442,0.8,0.9,0.75,1
HDy,MoSS_MN,MoSS_MN,MoSS_Dir,0.14,0.8,0.9,0.75,1
SORD,MoSS_MN,MoSS_MN,MoSS_Dir,0.13,0.8,0.9,0.75,1
SMM,MoSS_MN,MoSS_MN,MoSS_Dir,0.0424170900357459,0.8,0.9,0.75,1
ACC,MoSS_MN,MoSS_MN,MoSS_Dir,0.0031645569620253333,0.8,0.9,0.75,1
X_method,MoSS_MN,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
T50,MoSS_MN,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
MAX,MoSS_MN,MoSS_MN,MoSS_Dir,0.09615384615384626,0.8,0.9,0.75,1
MS,MoSS_MN,MoSS_MN,MoSS_Dir,0.057432432432432456,0.8,0.9,0.75,1
MS2,MoSS_MN,MoSS_MN,MoSS_Dir,0.06278538812785395,0.8,0.9,0.75,1
CC,MoSS_MN,MoSS_MN,MoSS_Dir,0.12,0.8,0.9,0.75,1
DyS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.009754991967475535,0.8,0.9,0.75,1
HDy,MoSS_Dir,MoSS_MN,MoSS_Dir,0.040000000000000036,0.8,0.9,0.75,1
SORD,MoSS_Dir,MoSS_MN,MoSS_Dir,0.07000000000000006,0.8,0.9,0.75,1
SMM,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
ACC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.07949308755760376,0.8,0.9,0.75,1
X_method,MoSS_Dir,MoSS_MN,MoSS_Dir,0.05092592592592604,0.8,0.9,0.75,1
T50,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
MAX,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
MS,MoSS_Dir,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
MS2,MoSS_Dir,MoSS_MN,MoSS_Dir,0.75,0.8,0.9,0.75,1
CC,MoSS_Dir,MoSS_MN,MoSS_Dir,0.12,0.8,0.9,0.75,1
DyS,None,MoSS_MN,MoSS_Dir,0.7499554476059523,0.8,0.9,0.75,1
HDy,None,MoSS_MN,MoSS_Dir,0.735,0.8,0.9,0.75,1
SORD,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
SMM,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
ACC,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
X_method,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
T50,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
MAX,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
MS,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
MS2,None,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,1
CC,None,MoSS_MN,MoSS_Dir,0.12,0.8,0.9,0.75,1
DyS,MoSS,MoSS_MN,MoSS_Dir,0.06252208113841495,0.8,0.9,0.75,2
HDy,MoSS,MoSS_MN,MoSS_Dir,0.010000000000000009,0.8,0.9,0.75,2
SORD,MoSS,MoSS_MN,MoSS_Dir,0.06999999999999995,0.8,0.9,0.75,2
SMM,MoSS,MoSS_MN,MoSS_Dir,0.07587661577538929,0.8,0.9,0.75,2
ACC,MoSS,MoSS_MN,MoSS_Dir,0.09749034749034757,0.8,0.9,0.75,2
X_method,MoSS,MoSS_MN,MoSS_Dir,0.10573122529644274,0.8,0.9,0.75,2
T50,MoSS,MoSS_MN,MoSS_Dir,0.25,0.8,0.9,0.75,2
MAX,MoSS,MoSS_MN,MoSS_Dir,0.4563492063492065,0.8,0.9,0.75,2
MS,MoSS,MoSS_MN,MoSS_Dir,0.11206896551724144,0.8,0.9,0.75,2
MS2,MoSS,MoSS_MN,MoSS_Dir,0.05263157894736825,0.8,0.9,0.75,2
CC,MoSS,MoSS_MN,MoSS_Dir,0.17000000000000004,0.8,0.9,0.75,2
DyS,MoSS_MN,MoSS_MN,MoSS_Dir,0.055755876640789626,0.8,0.9,0.75,2
